id	id_frase	novo_peso	confianca_nova	data
1	2	0.5	0.5	2025-02-23
2	4	0.5	0.5	2025-02-23
3	6	0.5	0.5	2025-02-23
4	8	0.5	0.5	2025-02-23
5	9	0.5	0.5	2025-02-23
6	11	0.5	0.5	2025-02-23
7	13	0.5	0.5	2025-02-23
8	15	0.5	0.5	2025-02-23
9	17	0.5	0.5	2025-02-23
10	19	0.5	0.5	2025-02-23
11	21	0.5	0.5	2025-02-23
12	23	0.5	0.5	2025-02-23
13	25	0.5	0.5	2025-02-23
14	27	0.5	0.5	2025-02-23
15	29	0.5	0.5	2025-02-23
16	31	0.5	0.5	2025-02-23 21:38:04
17	33	0.5	0.5	2025-02-23 21:39:58
18	35	0.5	0.5	2025-02-23 21:41:23
19	36	0.5	0.5	2025-02-23 21:41:27
20	37	0.5	0.5	2025-02-23 21:41:58
21	38	0.5	0.5	2025-02-23 21:44:16
22	40	0.5	0.5	2025-02-23 21:44:54
23	42	0.5	0.5	2025-02-23 21:45:12
24	43	0.5	0.5	2025-02-23 21:45:23
25	45	0.5	0.5	2025-02-23 21:45:32
26	47	0.5	0.5	2025-02-23 21:45:55
