id	emocao	valor	data_atualizacao
1	neutro	0.5	2025-02-23
2	neutro	0.5	2025-02-23
3	neutro	0.5	2025-02-23
4	neutro	0.5	2025-02-23
5	neutro	0.5	2025-02-23
6	neutro	0.5	2025-02-23
7	neutro	0.5	2025-02-23
8	neutro	0.5	2025-02-23
9	neutro	0.5	2025-02-23
10	neutro	0.5	2025-02-23
11	neutro	0.5	2025-02-23
12	neutro	0.5	2025-02-23
13	neutro	0.5	2025-02-23
14	neutro	0.5	2025-02-23
15	neutro	0.5	2025-02-23
16	neutro	0.5	2025-02-23 21:38:04
17	neutro	0.5	2025-02-23 21:39:58
18	neutro	0.5	2025-02-23 21:41:23
19	neutro	0.5	2025-02-23 21:41:27
20	neutro	0.5	2025-02-23 21:41:58
21	neutro	0.5	2025-02-23 21:44:16
22	neutro	0.5	2025-02-23 21:44:54
23	neutro	0.5	2025-02-23 21:45:12
24	neutro	0.5	2025-02-23 21:45:23
25	neutro	0.5	2025-02-23 21:45:32
26	neutro	0.5	2025-02-23 21:45:55
